training
lr, dw 0.0001 1e-09
test tensor(0.1455, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1427, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1387, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1309, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1224, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.1192, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1129, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1076, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1016, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0945, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0866, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0800, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0761, grad_fn=<MeanBackward0>) dev tensor(8.6072e-05, grad_fn=<SelectBackward>)
test tensor(0.0709, grad_fn=<MeanBackward0>) dev tensor(8.3343e-05, grad_fn=<SelectBackward>)
test tensor(0.0644, grad_fn=<MeanBackward0>) dev tensor(9.3298e-05, grad_fn=<SelectBackward>)
test tensor(0.0595, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0551, grad_fn=<MeanBackward0>) dev tensor(9.7130e-05, grad_fn=<SelectBackward>)
test tensor(0.0518, grad_fn=<MeanBackward0>) dev tensor(9.7150e-05, grad_fn=<SelectBackward>)
test tensor(0.0479, grad_fn=<MeanBackward0>) dev tensor(8.0730e-05, grad_fn=<SelectBackward>)
test tensor(0.0437, grad_fn=<MeanBackward0>) dev tensor(8.6671e-05, grad_fn=<SelectBackward>)
test tensor(0.0402, grad_fn=<MeanBackward0>) dev tensor(9.1199e-05, grad_fn=<SelectBackward>)
test tensor(0.0366, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0328, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0310, grad_fn=<MeanBackward0>) dev tensor(5.1708e-05, grad_fn=<SelectBackward>)
test tensor(0.0278, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0256, grad_fn=<MeanBackward0>) dev tensor(6.7676e-05, grad_fn=<SelectBackward>)
test tensor(0.0233, grad_fn=<MeanBackward0>) dev tensor(5.4934e-05, grad_fn=<SelectBackward>)
test tensor(0.0211, grad_fn=<MeanBackward0>) dev tensor(5.9026e-05, grad_fn=<SelectBackward>)
test tensor(0.0194, grad_fn=<MeanBackward0>) dev tensor(3.2635e-05, grad_fn=<SelectBackward>)
test tensor(0.0177, grad_fn=<MeanBackward0>) dev tensor(3.1351e-05, grad_fn=<SelectBackward>)
test tensor(0.0168, grad_fn=<MeanBackward0>) dev tensor(3.5741e-05, grad_fn=<SelectBackward>)
test tensor(0.0149, grad_fn=<MeanBackward0>) dev tensor(3.4321e-05, grad_fn=<SelectBackward>)
test tensor(0.0134, grad_fn=<MeanBackward0>) dev tensor(9.3495e-05, grad_fn=<SelectBackward>)
test tensor(0.0122, grad_fn=<MeanBackward0>) dev tensor(2.6500e-05, grad_fn=<SelectBackward>)
test tensor(0.0114, grad_fn=<MeanBackward0>) dev tensor(5.7543e-05, grad_fn=<SelectBackward>)
test tensor(0.0096, grad_fn=<MeanBackward0>) dev tensor(2.6388e-05, grad_fn=<SelectBackward>)
test tensor(0.0085, grad_fn=<MeanBackward0>) dev tensor(5.1506e-05, grad_fn=<SelectBackward>)
test tensor(0.0079, grad_fn=<MeanBackward0>) dev tensor(5.5827e-05, grad_fn=<SelectBackward>)
test tensor(0.0071, grad_fn=<MeanBackward0>) dev tensor(5.0131e-05, grad_fn=<SelectBackward>)
test tensor(0.0061, grad_fn=<MeanBackward0>) dev tensor(8.9708e-05, grad_fn=<SelectBackward>)
test tensor(0.0057, grad_fn=<MeanBackward0>) dev tensor(5.8634e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-09
test tensor(0.1473, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1472, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1441, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1372, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1320, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1298, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1197, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1203, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1150, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1078, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1035, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0992, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0962, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0904, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0851, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0830, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0801, grad_fn=<MeanBackward0>) dev tensor(8.0144e-05, grad_fn=<SelectBackward>)
test tensor(0.0730, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0696, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0661, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0631, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0586, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-09
test tensor(0.0944, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0873, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0832, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0734, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0715, grad_fn=<MeanBackward0>) dev tensor(8.8229e-05, grad_fn=<SelectBackward>)
test tensor(0.0618, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0580, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0526, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0498, grad_fn=<MeanBackward0>) dev tensor(6.9951e-05, grad_fn=<SelectBackward>)
test tensor(0.0459, grad_fn=<MeanBackward0>) dev tensor(6.2017e-05, grad_fn=<SelectBackward>)
test tensor(0.0385, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0349, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0327, grad_fn=<MeanBackward0>) dev tensor(7.2261e-05, grad_fn=<SelectBackward>)
test tensor(0.0300, grad_fn=<MeanBackward0>) dev tensor(4.7127e-05, grad_fn=<SelectBackward>)
test tensor(0.0252, grad_fn=<MeanBackward0>) dev tensor(7.3345e-05, grad_fn=<SelectBackward>)
test tensor(0.0220, grad_fn=<MeanBackward0>) dev tensor(6.0295e-05, grad_fn=<SelectBackward>)
test tensor(0.0194, grad_fn=<MeanBackward0>) dev tensor(4.8735e-05, grad_fn=<SelectBackward>)
test tensor(0.0162, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0143, grad_fn=<MeanBackward0>) dev tensor(5.6519e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-09
test tensor(0.1061, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1100, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1065, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1064, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1028, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0998, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0955, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0928, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0917, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0872, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0868, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0793, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0780, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0743, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
