training
lr, dw 0.0001 1e-11
test tensor(0.4775, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4596, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4385, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4130, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3860, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3690, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3497, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3319, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3109, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2882, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2668, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2484, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2343, grad_fn=<MeanBackward0>) dev tensor(8.8096e-05, grad_fn=<SelectBackward>)
test tensor(0.2170, grad_fn=<MeanBackward0>) dev tensor(7.9877e-05, grad_fn=<SelectBackward>)
test tensor(0.1971, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1822, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1664, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1550, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1431, grad_fn=<MeanBackward0>) dev tensor(9.5331e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-11
test tensor(0.4175, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3862, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3624, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3406, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3218, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2982, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-11
test tensor(0.4618, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.4413, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.4298, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3987, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3831, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3670, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3387, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.3270, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-11
test tensor(0.3728, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3462, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3250, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3027, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2827, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2647, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2460, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2267, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2112, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1972, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1816, grad_fn=<MeanBackward0>) dev tensor(7.7332e-05, grad_fn=<SelectBackward>)
test tensor(0.1671, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1585, grad_fn=<MeanBackward0>) dev tensor(9.8400e-05, grad_fn=<SelectBackward>)
test tensor(0.1475, grad_fn=<MeanBackward0>) dev tensor(5.8139e-05, grad_fn=<SelectBackward>)
test tensor(0.1341, grad_fn=<MeanBackward0>) dev tensor(9.2951e-05, grad_fn=<SelectBackward>)
test tensor(0.1226, grad_fn=<MeanBackward0>) dev tensor(6.0918e-05, grad_fn=<SelectBackward>)
test tensor(0.1109, grad_fn=<MeanBackward0>) dev tensor(5.5926e-05, grad_fn=<SelectBackward>)
test tensor(0.0972, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0895, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0822, grad_fn=<MeanBackward0>) dev tensor(4.5661e-05, grad_fn=<SelectBackward>)
test tensor(0.0744, grad_fn=<MeanBackward0>) dev tensor(7.2901e-05, grad_fn=<SelectBackward>)
test tensor(0.0657, grad_fn=<MeanBackward0>) dev tensor(8.1785e-05, grad_fn=<SelectBackward>)
test tensor(0.0581, grad_fn=<MeanBackward0>) dev tensor(6.9431e-05, grad_fn=<SelectBackward>)
test tensor(0.0507, grad_fn=<MeanBackward0>) dev tensor(3.9289e-05, grad_fn=<SelectBackward>)
test tensor(0.0446, grad_fn=<MeanBackward0>) dev tensor(8.0217e-05, grad_fn=<SelectBackward>)
test tensor(0.0401, grad_fn=<MeanBackward0>) dev tensor(4.7439e-05, grad_fn=<SelectBackward>)
test tensor(0.0358, grad_fn=<MeanBackward0>) dev tensor(2.2679e-05, grad_fn=<SelectBackward>)
test tensor(0.0320, grad_fn=<MeanBackward0>) dev tensor(3.1519e-05, grad_fn=<SelectBackward>)
test tensor(0.0284, grad_fn=<MeanBackward0>) dev tensor(3.3248e-05, grad_fn=<SelectBackward>)
test tensor(0.0259, grad_fn=<MeanBackward0>) dev tensor(1.1088e-05, grad_fn=<SelectBackward>)
test tensor(0.0224, grad_fn=<MeanBackward0>) dev tensor(9.5428e-06, grad_fn=<SelectBackward>)
test tensor(0.0197, grad_fn=<MeanBackward0>) dev tensor(1.7165e-05, grad_fn=<SelectBackward>)
test tensor(0.0180, grad_fn=<MeanBackward0>) dev tensor(8.5068e-06, grad_fn=<SelectBackward>)
test tensor(0.0163, grad_fn=<MeanBackward0>) dev tensor(7.7775e-06, grad_fn=<SelectBackward>)
test tensor(0.0146, grad_fn=<MeanBackward0>) dev tensor(7.6942e-06, grad_fn=<SelectBackward>)
test tensor(0.0134, grad_fn=<MeanBackward0>) dev tensor(1.7100e-05, grad_fn=<SelectBackward>)
test tensor(0.0127, grad_fn=<MeanBackward0>) dev tensor(1.4444e-05, grad_fn=<SelectBackward>)
test tensor(0.0124, grad_fn=<MeanBackward0>) dev tensor(7.1157e-06, grad_fn=<SelectBackward>)
test tensor(0.0121, grad_fn=<MeanBackward0>) dev tensor(4.9635e-06, grad_fn=<SelectBackward>)
test tensor(0.0119, grad_fn=<MeanBackward0>) dev tensor(1.2720e-05, grad_fn=<SelectBackward>)
test tensor(0.0122, grad_fn=<MeanBackward0>) dev tensor(6.5189e-06, grad_fn=<SelectBackward>)
test tensor(0.0125, grad_fn=<MeanBackward0>) dev tensor(6.5900e-06, grad_fn=<SelectBackward>)
test tensor(0.0130, grad_fn=<MeanBackward0>) dev tensor(4.3280e-06, grad_fn=<SelectBackward>)
test tensor(0.0138, grad_fn=<MeanBackward0>) dev tensor(1.8112e-05, grad_fn=<SelectBackward>)
test tensor(0.0149, grad_fn=<MeanBackward0>) dev tensor(5.6165e-06, grad_fn=<SelectBackward>)
test tensor(0.0161, grad_fn=<MeanBackward0>) dev tensor(6.1821e-06, grad_fn=<SelectBackward>)
test tensor(0.0170, grad_fn=<MeanBackward0>) dev tensor(1.0106e-05, grad_fn=<SelectBackward>)
test tensor(0.0185, grad_fn=<MeanBackward0>) dev tensor(1.8022e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-11
test tensor(0.3772, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3512, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3378, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3126, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.2984, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2813, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2642, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2475, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2319, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2153, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1976, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1838, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1713, grad_fn=<MeanBackward0>) dev tensor(9.6994e-05, grad_fn=<SelectBackward>)
test tensor(0.1563, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1466, grad_fn=<MeanBackward0>) dev tensor(4.8521e-05, grad_fn=<SelectBackward>)
test tensor(0.1320, grad_fn=<MeanBackward0>) dev tensor(6.6943e-05, grad_fn=<SelectBackward>)
test tensor(0.1187, grad_fn=<MeanBackward0>) dev tensor(5.2807e-05, grad_fn=<SelectBackward>)
test tensor(0.1096, grad_fn=<MeanBackward0>) dev tensor(3.6631e-05, grad_fn=<SelectBackward>)
test tensor(0.0993, grad_fn=<MeanBackward0>) dev tensor(3.9621e-05, grad_fn=<SelectBackward>)
test tensor(0.0889, grad_fn=<MeanBackward0>) dev tensor(5.6927e-05, grad_fn=<SelectBackward>)
test tensor(0.0818, grad_fn=<MeanBackward0>) dev tensor(2.7586e-05, grad_fn=<SelectBackward>)
test tensor(0.0721, grad_fn=<MeanBackward0>) dev tensor(4.5656e-05, grad_fn=<SelectBackward>)
test tensor(0.0623, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0562, grad_fn=<MeanBackward0>) dev tensor(8.3024e-05, grad_fn=<SelectBackward>)
test tensor(0.0501, grad_fn=<MeanBackward0>) dev tensor(2.8586e-05, grad_fn=<SelectBackward>)
test tensor(0.0430, grad_fn=<MeanBackward0>) dev tensor(3.2885e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-11
test tensor(0.4068, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3765, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3500, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3187, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3016, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2714, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.2550, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
